id;cep;logradouro;numero;complemento;bairro
1;duh across operation;huzzah jolly;woefully that fruitful;at;intently
2;peninsula fooey picturize;refurbish;yowza;questioningly;yahoo anenst
3;fiberglass;however;whose;pulsate ligate unto;um thoroughly
4;pish aha;toward till;um times;although;briskly
5;mortally for;nor;where pfft autograph;before mild carelessly;fondly why
6;atop trustworthy steep;minus;mature qua;tall;mystify hilarious locate
7;considering;fancy cribbage as;gah afore;knowingly eek infatuated;inside export
8;uh-huh;midst vessel;excepting until woodshed;regal absentmindedly past;serious
9;uh-huh charbroil really;defy as aggravating;borrowing sternly vice;stomach depot yippee;incriminate
10;though;gah;infantile;fondly;dearly wherever
